comment,processed_data
The former process to make land transferable under the Aboriginal Land Act 1991 was completed by regulations made by the Governor in Council.  This process was streamlined on 24 May 2019 and has been well received by all Department’s responsible for administering the legislation and dealings affected by the change.,"['process', 'land', 'transferable', 'Aboriginal', 'Land', 'Act', '1991', 'complete', 'regulation', 'Governor', 'Council', 'process', 'streamline', '24', '2019', 'receive', 'Department', 'responsible', 'administer', 'legislation', 'dealing', 'affect', 'change']"
Amend the current subordinate legislation process to replace it with the simple process of a Minister having the power to alter Queensland’s protected area estates via a declaration.,"['amend', 'current', 'subordinate', 'legislation', 'process', 'replace', 'simple', 'process', 'Minister', 'have', 'power', 'alter', 'Queensland', 'protect', 'area', 'estate', 'declaration']"
"Car checks using forms that aren't relevant, ","['car', 'check', 'form', 'aren', 'relevant']"
"Compliance hub business rules requiring team leaders and managers to close out cases where no non-compliance has occurred, ","['compliance', 'hub', 'business', 'rule', 'require', 'team', 'leader', 'manager', 'close', 'case', 'non', 'compliance', 'occur']"
"constantly updating store and use asset forms and flexible arrangement forms, the level of detail some compliance delegates required for statutory tools or notices,","['constantly', 'update', 'store', 'use', 'asset', 'form', 'flexible', 'arrangement', 'form', 'level', 'detail', 'compliance', 'delegate', 'require', 'statutory', 'tool', 'notice']"
 reviewing officers who do onerous reviews of work and require multiple versions for wordsmithing which holds up trying to dispatch correspondence,"['review', 'officer', 'onerous', 'review', 'work', 'require', 'multiple', 'version', 'wordsmithing', 'hold', 'try', 'dispatch', 'correspondence']"
Agreement between delegates and reviewing officers as to the level of detail required for inspection writeups and statutory tools to avoid reworks and make it clear to an officer.,"['agreement', 'delegate', 'review', 'officer', 'level', 'detail', 'require', 'inspection', 'writeup', 'statutory', 'tool', 'avoid', 'rework', 'clear', 'officer']"
To get through work and to promote trust in officers completing the work,"['work', 'promote', 'trust', 'officer', 'complete', 'work']"
"In terms of recruitment, we at DES and business centre levels does not have a system which captures existing skill set of human resource. If we have that, for recruitments a predefined system can prompt eligible internal candidates as soon as a requirement comes up. this would save workforce time and energy and eliminate bias if any. ","['term', 'recruitment', 'DES', 'business', 'centre', 'level', 'system', 'capture', 'exist', 'skill', 'set', 'human', 'resource', 'recruitment', 'predefine', 'system', 'prompt', 'eligible', 'internal', 'candidate', 'soon', 'requirement', 'come', 'save', 'workforce', 'time', 'energy', 'eliminate', 'bias']"
"Documents (including forms, guidelines etc) listed on the policy register not being accessible externally. Requires buisness units to upload to register and then provide another copy of the document for web publishing which is both duplication of content and inefficient use of multiple resources within the department","['document', 'include', 'form', 'guideline', 'etc', 'list', 'policy', 'register', 'accessible', 'externally', 'require', 'buisness', 'unit', 'upload', 'register', 'provide', 'copy', 'document', 'web', 'publishing', 'duplication', 'content', 'inefficient', 'use', 'multiple', 'resource', 'department']"
Compliance  framework - All of the 5 categories,"['compliance', 'framework', '5', 'category']"
"Low level compliance issues - Standard for issuing PINS too high, alternate graduated approach not available. Reg stratgey not updated to reflect graduated risk. Risk based regualation not occuring as overly consumed by low risk tasks to comply with reporting and proceedural requirements.","['low', 'level', 'compliance', 'issue', 'Standard', 'issue', 'PINS', 'high', 'alternate', 'graduate', 'approach', 'available', 'Reg', 'stratgey', 'update', 'reflect', 'graduate', 'risk', 'risk', 'base', 'regualation', 'occur', 'overly', 'consume', 'low', 'risk', 'task', 'comply', 'reporting', 'proceedural', 'requirement']"
Too much time is spent advising all levels of mgt on matters which have been addressed or considered on multiple fronts in the past. Matters are not progressing if not captured. Accountability for making decisions to not progress the recommended compliance approach.,"['time', 'spend', 'advise', 'level', 'mgt', 'matter', 'address', 'consider', 'multiple', 'front', 'past', 'matter', 'progress', 'capture', 'accountability', 'make', 'decision', 'progress', 'recommend', 'compliance', 'approach']"
"Standard conditions in EPAct. This has resulted in new challenges which have not been addressed adequately. Also, streamlinging State approvals under planning Act. Again, problems were caused due to inadequately supporting post implementation challenges. Streamlining can be good, but needs adequate post implementation support which Qld Gov has historically done very porely which impacts directly on the frontline staff.","['standard', 'condition', 'EPAct', 'result', 'new', 'challenge', 'address', 'adequately', 'streamlinge', 'state', 'approval', 'plan', 'Act', 'problem', 'cause', 'inadequately', 'support', 'post', 'implementation', 'challenge', 'streamlining', 'good', 'need', 'adequate', 'post', 'implementation', 'support', 'Qld', 'Gov', 'historically', 'porely', 'impact', 'directly', 'frontline', 'staff']"
Getting an online system that works (Dynamics) is the first step. Graduated penalty system. ,"['get', 'online', 'system', 'work', 'dynamic', 'step', 'graduate', 'penalty', 'system']"
"Centralisation of HR decision-making.  Why penalise everyone when there are only a few who don't meet expectations.   Most managers will do there jobs, if only they were left to do it.  And if they don't do the right thing, then take that power away from them.  ","['centralisation', 'HR', 'decision', 'make', 'penalise', 'don', 'meet', 'expectation', 'manager', 'job', 'leave', 'don', 'right', 'thing', 'power', 'away']"
Rules around HR approvals.,"['rule', 'hr', 'approval']"
They are too centralised.  Devolve responsibility and hold managers accountable.,"['centralised', 'Devolve', 'responsibility', 'hold', 'manager', 'accountable']"
"It is less red tape, and more good uses of technology.  There are any number of systems that have streamlined things (eg electronic timesheets)","['red', 'tape', 'good', 'use', 'technology', 'number', 'system', 'streamline', 'thing', 'eg', 'electronic', 'timesheet']"
"Sometimes the approval and/ or decisions making processes are not clear  (Thinking comms, procurement in particular).  I think the push to have greater levels of adminstrative information/forms to be completed at project officer level is actually less efficient. ","['approval', 'decision', 'make', 'process', 'clear', 'thinking', 'comms', 'procurement', 'particular', 'think', 'push', 'great', 'level', 'adminstrative', 'information', 'form', 'complete', 'project', 'officer', 'level', 'actually', 'efficient']"
MECS items/ correspondence that is sent back to the developing officer to change inconsequential items (such as changing the date on a letter)  ,"['mec', 'item', 'correspondence', 'send', 'develop', 'officer', 'change', 'inconsequential', 'item', 'change', 'date', 'letter']"
I have had to underake multiple procurements processes using the new procurement portal.  The system is clunky and is cerainly not intuitive to support you accessing the correct templates and paperwork to support your procurement process. ,"['underake', 'multiple', 'procurement', 'process', 'new', 'procurement', 'portal', 'system', 'clunky', 'cerainly', 'intuitive', 'support', 'access', 'correct', 'template', 'paperwork', 'support', 'procurement', 'process']"
Generally the broader acceptance of electronic signatures.,"['generally', 'broad', 'acceptance', 'electronic', 'signature']"
MECs - sending items back down the line with minute changes are made to briefs. Excessive approvals for some items that need to happen promptly which result in timeframes being blown out. ,"['MECs', 'send', 'item', 'line', 'minute', 'change', 'brief', 'excessive', 'approval', 'item', 'need', 'happen', 'promptly', 'result', 'timeframe', 'blow']"
"There are too many approvers, items get stuck with people on leave etc and not progressed","['approver', 'item', 'stick', 'people', 'leave', 'etc', 'progress']"
Approvals for some local signage in the region was reviewed and reduced with all previous approvers endorsement. Much quicker and efficient team and process now,"['approval', 'local', 'signage', 'region', 'review', 'reduce', 'previous', 'approver', 'endorsement', 'quick', 'efficient', 'team', 'process']"
"Consistent approvers for similar items. Clear delegations and lines of communication developed for processes across DES departments. MECs needs to be reviewed so timeframes put into the system are kept on track and not held up. Often the person who writes a brief doesn't see their due dates put in completed, although a matter isn't urgent items taking more than 2+ months to finalise needs to improve. There is a requirement to put in a brief a timeframe if urgent, therfore un-urgent ones have nil listed. Ideally all breifs should be completed within a month or even less if not proceeding all the way to the Minister. Tighter parameters on MECs would allow for this to proceed and essential make processes more effficient. ","['consistent', 'approver', 'similar', 'item', 'clear', 'delegation', 'line', 'communication', 'develop', 'process', 'DES', 'department', 'MECs', 'need', 'review', 'timeframe', 'system', 'keep', 'track', 'hold', 'person', 'write', 'brief', 'doesn', 'date', 'complete', 'matter', 'isn', 'urgent', 'item', 'take', '2', 'month', 'finalise', 'need', 'improve', 'requirement', 'brief', 'timeframe', 'urgent', 'therfore', 'un', 'urgent', 'one', 'nil', 'list', 'ideally', 'breif', 'complete', 'month', 'proceed', 'way', 'Minister', 'tight', 'parameter', 'MECs', 'allow', 'proceed', 'essential', 'process', 'effficient']"
"There is clear delegation to approve the launch of a new program or giving out funding. What is not clear is the approval pathway to initiate a project and get buy in along the way. Due to this lack of clarity there seems to be a hodge podge mix of MECs, board, meeting, one-pagers and presentations to give the executives comfort to make a decision. This a lot of time and effort generating the same information in different ways. Happy to be contacted to chat further.","['clear', 'delegation', 'approve', 'launch', 'new', 'program', 'give', 'funding', 'clear', 'approval', 'pathway', 'initiate', 'project', 'buy', 'way', 'lack', 'clarity', 'hodge', 'podge', 'mix', 'MECs', 'board', 'meet', 'pager', 'presentation', 'executive', 'comfort', 'decision', 'lot', 'time', 'effort', 'generate', 'information', 'different', 'way', 'happy', 'contact', 'chat']"
Review and reiterations of the financial management manual has given us clear delegations of who can approve what expenditure of money. ,"['review', 'reiteration', 'financial', 'management', 'manual', 'give', 'clear', 'delegation', 'approve', 'expenditure', 'money']"
"Get each branch or team to establish a delegations register that is bespoke to the work they do. This will need endorsement by the ED or even DDG but then all staff are clear on what needs to go where, and executives are freed up for other work. ","['branch', 'team', 'establish', 'delegation', 'register', 'bespoke', 'work', 'need', 'endorsement', 'ED', 'DDG', 'staff', 'clear', 'need', 'executive', 'free', 'work']"
IT approvals and unreasonable constraints,"['approval', 'unreasonable', 'constraint']"
IT limitations and controls stopping and slowing work flow,"['limitation', 'control', 'stop', 'slow', 'work', 'flow']"
delegations not appropriately applied.  ,"['delegation', 'appropriately', 'apply']"
excessive establisment reporting . Excessive leave reporting ,"['excessive', 'establisment', 'reporting', 'excessive', 'leave', 'report']"
KPIs on decision/ reveiw turn around times. Delegations approriately applied.,"['kpi', 'decision', 'reveiw', 'turn', 'time', 'delegation', 'approriately', 'apply']"
EMP,['emp']
Recruitment and selction - systems and approvals,"['recruitment', 'selction', 'system', 'approval']"
The amount of excessive time taken to complete processes. The lack of trust in decision makers. Not allowing people to exercise delegations they have. Micro management.,"['excessive', 'time', 'take', 'complete', 'process', 'lack', 'trust', 'decision', 'maker', 'allow', 'people', 'exercise', 'delegation', 'Micro', 'management']"
"If staff have been given delegations to undertake actions, allow them to do so or remove the delegation. Stop imposing processes that actually don't provide any efficiency. ","['staff', 'give', 'delegation', 'undertake', 'action', 'allow', 'remove', 'delegation', 'stop', 'impose', 'process', 'actually', 'don', 'provide', 'efficiency']"
Current intrastate travel approvals. ,"['current', 'intrastate', 'travel', 'approval']"
"Approvals outside of MECS as well. We seem to have the same approval delegations regardless of the nature of the advice, type of request. I would not think all internal reporting requires ED or DDG level approvals. ","['approval', 'outside', 'MECS', 'approval', 'delegation', 'regardless', 'nature', 'advice', 'type', 'request', 'think', 'internal', 'reporting', 'require', 'ED', 'DDG', 'level', 'approval']"
"In addition, approving small revisions or edits should be at Director level only. No need to take up exec time with these things.   ED and DDG approvals should be focused on external corro, advice to Minister, media only, and annual reporting only.   ","['addition', 'approve', 'small', 'revision', 'edit', 'Director', 'level', 'need', 'exec', 'time', 'thing', 'ED', 'DDG', 'approval', 'focus', 'external', 'corro', 'advice', 'Minister', 'medium', 'annual', 'reporting']"
DPC requests for status updates on election commitments can be signed out by Director level and then Corporate Services. ,"['DPC', 'request', 'status', 'update', 'election', 'commitment', 'sign', 'Director', 'level', 'Corporate', 'Services']"
"Think about a risk based approach to delegations for approvals. i.e. the greater the risk with the item, the higher the delegation of approval. Much of the internal requests for info need only be signed out at Director level. ","['think', 'risk', 'base', 'approach', 'delegation', 'approval', 'great', 'risk', 'item', 'high', 'delegation', 'approval', 'internal', 'request', 'info', 'need', 'sign', 'Director', 'level']"
Majority of requests recieved have very short timeframes attached or are flagged as urgent. This suggests not enough thought and planning is going in to the drivers of these requests. ,"['majority', 'request', 'recieve', 'short', 'timeframe', 'attach', 'flag', 'urgent', 'suggest', 'thought', 'planning', 'go', 'driver', 'request']"
There are are many administrative 'hands' across the executive and ministerial layers 'handling' all the requests. This exacerbates timeframes for meeting requests because so much time has to be allocated to getting it through the system.,"['administrative', 'hand', 'executive', 'ministerial', 'layer', 'handle', 'request', 'exacerbate', 'timeframe', 'meeting', 'request', 'time', 'allocate', 'get', 'system']"
"(1) Reducing the number of 'hands' that some requests are required to pass through; and (2) having a strategic approach to corporate and other government or departmental processes that drive requests. e.g. many reporting processes are quarterly or annual and yet still are driven via short/urgent timeframes. These should be planned in advance and early alerts or dates provided to support people to prepare. Recently we have completed reporting on/input to grants program spends, contracts awarded, budget papers input, Estimates etc. ","['1', 'reduce', 'number', 'hand', 'request', 'require', 'pass', '2', 'have', 'strategic', 'approach', 'corporate', 'government', 'departmental', 'process', 'drive', 'request', 'reporting', 'process', 'quarterly', 'annual', 'drive', 'short', 'urgent', 'timeframe', 'plan', 'advance', 'early', 'alert', 'date', 'provide', 'support', 'people', 'prepare', 'recently', 'complete', 'reporting', 'input', 'grant', 'program', 'spend', 'contract', 'award', 'budget', 'paper', 'input', 'Estimates', 'etc']"
"The volume and urgency of requests being addressed is significantly affecting morale, resilience and stress levels in our teams. In general, people accept this is part of working in government, but it can be managed better.","['volume', 'urgency', 'request', 'address', 'significantly', 'affect', 'morale', 'resilience', 'stress', 'level', 'team', 'general', 'people', 'accept', 'work', 'government', 'manage', 'well']"
A previous department developed an annual strategic calendar that captured key government and corporate cycles that drove many of the requests and then used this to manage the flow of information and consolidating requests for information. Also scope to centrliase reporting. e.g. Procurement Services completing contract reporting centrally.,"['previous', 'department', 'develop', 'annual', 'strategic', 'calendar', 'capture', 'key', 'government', 'corporate', 'cycle', 'drive', 'request', 'manage', 'flow', 'information', 'consolidate', 'request', 'information', 'scope', 'centrliase', 'report', 'Procurement', 'Services', 'complete', 'contract', 'report', 'centrally']"
(1) Make content areas reponsible for the quality of their work instead of applying multiple laters of QA across the system. (2) Centralise and support some aspects of corporate reporting. (3) Better plan and coordinate requests for reporitng and input to be efficient and reduce the total load.,"['1', 'content', 'area', 'reponsible', 'quality', 'work', 'instead', 'apply', 'multiple', 'later', 'QA', 'system', '2', 'Centralise', 'support', 'aspect', 'corporate', 'reporting', '3', 'better', 'plan', 'coordinate', 'request', 'reporitng', 'input', 'efficient', 'reduce', 'total', 'load']"
"Like blockers, management taking too long to endorse or approve matters and being vague.","['like', 'blocker', 'management', 'take', 'long', 'endorse', 'approve', 'matter', 'vague']"
The timeframe for management decisions,"['timeframe', 'management', 'decision']"
Because responding to external stakeholders that management haven't responded can be embarrassing. So you have to be creative in your response.,"['respond', 'external', 'stakeholder', 'management', 'haven', 'respond', 'embarrassing', 'creative', 'response']"
Procurement for aerial work took approx. 3 months to get approved.,"['procurement', 'aerial', 'work', 'take', 'approx', '3', 'month', 'approve']"
"In some situations, I believe approvals could be lowered (e.g. travel approvals) - though, in some situations, adequate review/governance is not occurring at lower levels, so QA at a higher level is sometimes required.","['situation', 'believe', 'approval', 'lower', 'travel', 'approval', 'situation', 'adequate', 'review', 'governance', 'occur', 'low', 'level', 'QA', 'high', 'level', 'require']"
"Online timesheets have streamlined things. The Region has combined the general travel, home garaging & remote area travel approvals into one form to reduce the need to complete the same info on multiple forms. ","['online', 'timesheet', 'streamline', 'thing', 'Region', 'combine', 'general', 'travel', 'home', 'garaging', 'remote', 'area', 'travel', 'approval', 'form', 'reduce', 'need', 'complete', 'info', 'multiple', 'form']"
"The Region is preparing a red tape reduction strategy to identify unnecessary or inefficient processes and review procedures, and develop strategies to reduce red tape. The aim is to remove 1-2 red tape processes before adding new processes... without compromising transparency or accountability. ","['Region', 'prepare', 'red', 'tape', 'reduction', 'strategy', 'identify', 'unnecessary', 'inefficient', 'process', 'review', 'procedure', 'develop', 'strategy', 'reduce', 'red', 'tape', 'aim', 'remove', '1', '2', 'red', 'tape', 'process', 'add', 'new', 'process', 'compromise', 'transparency', 'accountability']"
There are inconsistencies between what officers at different levels are delegated to approve depending on the division.,"['inconsistency', 'officer', 'different', 'level', 'delegate', 'approve', 'depend', 'division']"
Room bookings on level 3 of 400G being opened to all users via Outlook.,"['room', 'booking', 'level', '3', '400', 'g', 'open', 'user', 'Outlook']"
"Excessive approvals for seeking legal service requests, or for seeking engagement with Compliance Support or RRS. Regarding the legal services request (which is fairly routine), the approvals process resulted in a ‘road block’. ","['excessive', 'approval', 'seek', 'legal', 'service', 'request', 'seek', 'engagement', 'Compliance', 'Support', 'RRS', 'legal', 'service', 'request', 'fairly', 'routine', 'approval', 'process', 'result', 'road', 'block']"
"Because many approval requests are not automated and may not be actioned/reviewed within anticipated timeframes (or there are no timeframes for actioning some approval requests, leading to ‘road blocks’.  ","['approval', 'request', 'automate', 'action', 'review', 'anticipate', 'timeframe', 'timeframe', 'action', 'approval', 'request', 'lead', 'road', 'block']"
"Yes, I've previously contacted compliance support/RRS directly although I'm now aware there's an approvals process which should be followed before they're to be contacted (similar to tech services, for small issues that don't warrant a tech services request I prefer to contact them directly, although I understand this isn't the proper process).","['yes', 've', 'previously', 'contact', 'compliance', 'support', 'RRS', 'directly', 'aware', 'approval', 'process', 'follow', 'contact', 'similar', 'tech', 'service', 'small', 'issue', 'don', 'warrant', 'tech', 'service', 'request', 'prefer', 'contact', 'directly', 'understand', 'isn', 'proper', 'process']"
"Yes, encourage officers to contact agencies directly for small matters (or for advice) prior to embarking on lengthy approval processes (relevant agencies at DES requiring approval (for engagement) include (but are not limited to) tech services, compliance support, RRS, legal services etc.). If the matter is small, and if the relevant agencies is happy to assist (after reviewing the request) that’s great, and a formal approval request (for engagement) may not be required (big time saver). If the issue is more significant, the relevant agency can request that the approvals process be followed, and a proper submission (for engagement) should be made. I’ve often contacted relevant agencies myself to gauge ideas (or for direct support) and this has saved time, although I’m not sure whether this is something that’s encouraged. Before completing a lengthy (and time consuming) request for engagement (i.e. a legal services request or a tech services request), wouldn’t it be better to be able to talk directly with the relevant agency who you’re requesting support from (this is a bit like an applicant wanting to have a pre-lodgement meeting prior to submitting all the necessary paperwork – i.e. potentially a big time saver). ","['yes', 'encourage', 'officer', 'contact', 'agency', 'directly', 'small', 'matter', 'advice', 'prior', 'embark', 'lengthy', 'approval', 'process', 'relevant', 'agency', 'DES', 'require', 'approval', 'engagement', 'include', 'limit', 'tech', 'service', 'compliance', 'support', 'RRS', 'legal', 'service', 'etc', 'matter', 'small', 'relevant', 'agency', 'happy', 'assist', 'review', 'request', 'great', 'formal', 'approval', 'request', 'engagement', 'require', 'big', 'time', 'saver', 'issue', 'significant', 'relevant', 'agency', 'request', 'approval', 'process', 'follow', 'proper', 'submission', 'engagement', 've', 'contact', 'relevant', 'agency', 'gauge', 'idea', 'direct', 'support', 'save', 'time', 'sure', 'encourage', 'complete', 'lengthy', 'time', 'consume', 'request', 'engagement', 'legal', 'service', 'request', 'tech', 'service', 'request', 'wouldn', 'well', 'able', 'talk', 'directly', 'relevant', 'agency', 'request', 'support', 'bit', 'like', 'applicant', 'want', 'pre', 'lodgement', 'meeting', 'prior', 'submit', 'necessary', 'paperwork', 'potentially', 'big', 'time', 'saver']"
An additional signature on the hardcopy monthly corporate card statements when these statements are already electronically approved. Hardcopies provided even though digital invoices are already uploaded into Promaster.,"['additional', 'signature', 'hardcopy', 'monthly', 'corporate', 'card', 'statement', 'statement', 'electronically', 'approve', 'hardcopie', 'provide', 'digital', 'invoice', 'upload', 'Promaster']"
"duplication of invoices (electronic/hardcopy), duplication of approvals (electronic/hardcopy), waste of paper resources ","['duplication', 'invoice', 'electronic', 'hardcopy', 'duplication', 'approval', 'electronic', 'hardcopy', 'waste', 'paper', 'resource']"
Previous red tape reduction initiative resulted in simplification of fieldwork & accommodation approvals,"['previous', 'red', 'tape', 'reduction', 'initiative', 'result', 'simplification', 'fieldwork', 'accommodation', 'approval']"
"a move towards electronic signatures, email approvals and digital approvals in general","['electronic', 'signature', 'email', 'approval', 'digital', 'approval', 'general']"
having to process manual leave forms for people on graduated return to work,"['have', 'process', 'manual', 'leave', 'form', 'people', 'graduate', 'return', 'work']"
"Because the way they are currently structured creates inefficiencies, in some cases disempowers roles, and requires very senior staff to take their attention of more important tasks to deal with matters that could be administered below them.","['way', 'currently', 'structure', 'create', 'inefficiency', 'case', 'disempower', 'role', 'require', 'senior', 'staff', 'attention', 'important', 'task', 'deal', 'matter', 'administer']"
"delegate EMP processes down, review HR delegations to push decision making back to levels where responsibility sat several years ago - there has been a rolling up of decision making which makes getting approvals in a timely fashion more difficult and overloads senior staff dealing with administrative matters that previously could be decided below them.","['delegate', 'emp', 'process', 'review', 'hr', 'delegation', 'push', 'decision', 'make', 'level', 'responsibility', 'sit', 'year', 'ago', 'roll', 'decision', 'making', 'make', 'get', 'approval', 'timely', 'fashion', 'difficult', 'overload', 'senior', 'staff', 'deal', 'administrative', 'matter', 'previously', 'decide']"
"Delegations for approval of letters, compliance processes are excessively high. E.g. post inspection letter with areas of concern, but no non-compliances should be able to be signed by professional officers. ","['delegation', 'approval', 'letter', 'compliance', 'process', 'excessively', 'high', 'post', 'inspection', 'letter', 'area', 'concern', 'non', 'compliance', 'able', 'sign', 'professional', 'officer']"
"Workflow approval processes are too high, and this creates a bottleneck when those staff are unavailable. Needs to be lower and risk based. ","['workflow', 'approval', 'process', 'high', 'create', 'bottleneck', 'staff', 'unavailable', 'need', 'low', 'risk', 'base']"
"To create improved efficiency in the processes, increasing timeframe durations etc.","['create', 'improved', 'efficiency', 'process', 'increase', 'timeframe', 'duration', 'etc']"
"A new risk based, streamlined process implemented in the Townsville office to adress NFA matters in realtion to marginal exceedance notfications from local government. ","['new', 'risk', 'base', 'streamlined', 'process', 'implement', 'Townsville', 'office', 'adress', 'NFA', 'matter', 'realtion', 'marginal', 'exceedance', 'notfication', 'local', 'government']"
"Follow deligations identified in legislation, instead of historical local business processes. ","['follow', 'deligation', 'identify', 'legislation', 'instead', 'historical', 'local', 'business', 'process']"
Some human resource delegations need to be reviewed.,"['human', 'resource', 'delegation', 'need', 'review']"
I am looking at being able for Commonwealth and State goverment staff being able to undertake higher duties or acting arrangements between the two government bodies without entitlements being affected. Specifically I would need this to apply between QPWS-DES and the Great Barrier Reef Marine Park Authority.,"['look', 'able', 'Commonwealth', 'State', 'goverment', 'staff', 'able', 'undertake', 'high', 'duty', 'act', 'arrangement', 'government', 'body', 'entitlement', 'affect', 'specifically', 'need', 'apply', 'QPWS', 'DES', 'Great', 'Barrier', 'Reef', 'Marine', 'Park', 'Authority']"
"Standard departmental communication, e.g. website content, should not require Ministerial office review and approval","['standard', 'departmental', 'communication', 'website', 'content', 'require', 'ministerial', 'office', 'review', 'approval']"
Double handling when printing docs for paper files that could be saved electronically,"['double', 'handling', 'print', 'doc', 'paper', 'file', 'save', 'electronically']"
Clear instructions are not always easy to locate,"['clear', 'instruction', 'easy', 'locate']"
Clear instructions should address why process requires this type of approval to reduce interpretation of process rather than identifying e.g. separation of duties,"['clear', 'instruction', 'address', 'process', 'require', 'type', 'approval', 'reduce', 'interpretation', 'process', 'identify', 'separation', 'duty']"
Better use of automation tools available,"['better', 'use', 'automation', 'tool', 'available']"
Training to help understand the process and reasons in place,"['train', 'help', 'understand', 'process', 'reason', 'place']"
be more sepcific by the management when send down the requests/tasks,"['sepcific', 'management', 'send', 'request', 'task']"
Business units are often provided insufficient time to complete MECs items as a huge amount of time needs to be allocated for approvals. This means MECs items are often rushed and do not always include the best/most helpful information they should. ,"['business', 'unit', 'provide', 'insufficient', 'time', 'complete', 'MECs', 'item', 'huge', 'time', 'need', 'allocate', 'approval', 'mean', 'MECs', 'item', 'rush', 'include', 'good', 'helpful', 'information']"
SO much time is take up in approvals. The department would be more efficient and get things done quicker if less time taken in approvals,"['time', 'approval', 'department', 'efficient', 'thing', 'quick', 'time', 'take', 'approval']"
"Lack of planning around set annual activities (budgets, estimates etc) resulting in staff getting constant SUPER URGENT requests","['lack', 'plan', 'set', 'annual', 'activity', 'budget', 'estimate', 'etc', 'result', 'staff', 'get', 'constant', 'SUPER', 'URGENT', 'request']"
"Our WFQ results keep saying that staff are over-worked. We can't manage this locally with all of the adhoc and SUPER URGENT requests for information coming as a barrage down the line. More planning and thought needs to be put into this requests instead of assuming that we should continue to subject our staff to this unplanned, uncoordinated and unreasonable demand for constant information for administrative purposes ","['WFQ', 'result', 'say', 'staff', 'worked', 'manage', 'locally', 'adhoc', 'SUPER', 'URGENT', 'request', 'information', 'come', 'barrage', 'line', 'planning', 'thought', 'need', 'request', 'instead', 'assume', 'continue', 'subject', 'staff', 'unplanned', 'uncoordinated', 'unreasonable', 'demand', 'constant', 'information', 'administrative', 'purpose']"
Paul Simshauser as DG of DEWS got rid of timesheets ,"['Paul', 'Simshauser', 'DG', 'DEWS', 'get', 'rid', 'timesheet']"
"Plan for annual events (estimates, budgets) and push back on timeframes insisted upon by central agencies. It is for them to set a reasonable service standard to political masters. ","['plan', 'annual', 'event', 'estimate', 'budget', 'push', 'timeframe', 'insist', 'central', 'agency', 'set', 'reasonable', 'service', 'standard', 'political', 'master']"
"In assessment, there is a large blocker in that all reports etc. must be reviewed by the team leader prior to going to the delegate.  Therefore, it takes the team leader too much time to review the documents - there is a bottle neck.","['assessment', 'large', 'blocker', 'report', 'etc', 'review', 'team', 'leader', 'prior', 'go', 'delegate', 'take', 'team', 'leader', 'time', 'review', 'document', 'bottle', 'neck']"
"Use of eDocs and Connect - duplication of record-keeping which takes a long time.  In addition, Connect is too difficult to use. ","['Use', 'eDocs', 'connect', 'duplication', 'record', 'keeping', 'take', 'long', 'time', 'addition', 'connect', 'difficult', 'use']"
It takes a long time to duplicate record systems - particularly Connect and eDocs. ,"['take', 'long', 'time', 'duplicate', 'record', 'system', 'particularly', 'Connect', 'eDocs']"
Get rid of Connect.,"['rid', 'connect']"
I'm paid a lot of money to defer low level approvals up to ED level,"['pay', 'lot', 'money', 'defer', 'low', 'level', 'approval', 'ed', 'level']"
Just move the delegations and policues for HR and Finance approvals back to where they used to be,"['delegation', 'policue', 'HR', 'Finance', 'approval']"
"The culture of DES is too hierarchical, which makes for loss of interaction, trust, skill building and common sense. This means a lot of time is wasted in these 'red tape' processes.","['culture', 'DES', 'hierarchical', 'make', 'loss', 'interaction', 'trust', 'skill', 'building', 'common', 'sense', 'mean', 'lot', 'time', 'waste', 'red', 'tape', 'process']"
"Exercise trust in team members to produce a final draft, organise files, templates, etc. ","['exercise', 'trust', 'team', 'member', 'produce', 'final', 'draft', 'organise', 'file', 'template', 'etc']"
More refreshing transparency is needed like Karen Hussey's latest update.,"['refreshing', 'transparency', 'need', 'like', 'Karen', 'Hussey', 'late', 'update']"
We now have multiple communication platforms. Whilst I appreciate the new developments and opportunities to diversify our means of communication I feel that the multi layers of job tracking and messaging adds to the complexity of getting quality work done and meeting the expectation of superior staff. There are many more examples I could provide but this is most pertinent for me.  ,"['multiple', 'communication', 'platform', 'whilst', 'appreciate', 'new', 'development', 'opportunity', 'diversify', 'mean', 'communication', 'feel', 'multi', 'layer', 'job', 'tracking', 'message', 'add', 'complexity', 'get', 'quality', 'work', 'meet', 'expectation', 'superior', 'staff', 'example', 'provide', 'pertinent']"
"Extra processes add layers of complexity to otherwise simple tasks. I feel it takes me much longer to complete/close out jobs as there are so many platforms it needs to be entered, reported, actioned, opened, closed - all in addition to actually undertaking the assessment and reporting and corresponding that is the essential part of the task. Half the time I can't locate the specific places/entries I'm meant to be reporting. At other times I end up with duplicate entries as several work units are entering tasks as they are received by the department. I feel we have made some progress with technologies lately that are beneficial to the department, but we don't necessarily need to retain them all - especially where processes are duplicated. ","['extra', 'process', 'add', 'layer', 'complexity', 'simple', 'task', 'feel', 'take', 'long', 'complete', 'close', 'job', 'platform', 'need', 'enter', 'report', 'action', 'open', 'close', 'addition', 'actually', 'undertake', 'assessment', 'reporting', 'correspond', 'essential', 'task', 'half', 'time', 'locate', 'specific', 'place', 'entry', 'mean', 'report', 'time', 'end', 'duplicate', 'entry', 'work', 'unit', 'enter', 'task', 'receive', 'department', 'feel', 'progress', 'technology', 'lately', 'beneficial', 'department', 'don', 'necessarily', 'need', 'retain', 'especially', 'process', 'duplicate']"
